english,catalan,date
Substance,substància,2027-09-29 10:55:08.392634
Sugarcane,canya de sucre,2027-09-30 10:55:08.392634
Sunflower,gira-sol,2027-10-01 10:55:08.392634
Surrender,rendir-se,2027-10-02 10:55:08.392634
Technical,tècnica,2027-10-03 10:55:08.392634
Temporary,temporal,2027-10-04 10:55:08.392634
Terrorist,terrorista,2027-10-05 10:55:08.392634
Treatment,tractament,2027-10-06 10:55:08.392634
Variation,variació,2027-10-07 10:55:08.392634
Vegetable,vegetal,2027-10-08 10:55:08.392634
Virginity,virginitat,2027-10-09 10:55:08.392634
Yesterday,ahir,2027-10-10 10:55:08.392634
Abbreviate,abreujar,2027-10-11 10:55:08.392634
Absolutely,absolutament,2027-10-12 10:55:08.392634
Absorption,absorció,2027-10-13 10:55:08.392634
Acceptable,acceptable,2027-10-14 10:55:08.392634
Achievable,assolible,2027-10-15 10:55:08.392634
Additional,addicionals,2027-10-16 10:55:08.392634
Admiration,admiració,2027-10-17 10:55:08.392634
Adolescent,adolescent,2027-10-18 10:55:08.392634
Adulterant,adulterant,2027-10-19 10:55:08.392634
Adventurer,aventurer,2027-10-20 10:55:08.392634
Afterwards,després,2027-10-21 10:55:08.392634
Aggression,agressivitat,2027-10-22 10:55:08.392634
Alteration,alteració,2027-10-23 10:55:08.392634
Ambassador,ambaixador,2027-10-24 10:55:08.392634
Analytical,analítiques,2027-10-25 10:55:08.392634
Antibiotic,antibiòtic,2027-10-26 10:55:08.392634
Anticipate,preveure,2027-10-27 10:55:08.392634
Appreciate,apreciar,2027-10-28 10:55:08.392634
Artificial,artificial,2027-10-29 10:55:08.392634
Aspiration,aspiració,2027-10-30 10:55:08.392634
Assignment,encàrrec,2027-10-31 10:55:08.392634
Atmosphere,atmosfera,2027-11-01 10:55:08.392634
Attachment,adjunt,2027-11-02 10:55:08.392634
Attraction,atracció,2027-11-03 10:55:08.392634
Chloroform,cloroform,2027-11-04 10:55:08.392634
Combustion,combustió,2027-11-05 10:55:08.392634
Commission,comissió,2027-11-06 10:55:08.392634
Compassion,compassió,2027-11-07 10:55:08.392634
Compulsory,obligatòria,2027-11-08 10:55:08.392634
Conclusion,conclusió,2027-11-09 10:55:08.392634
Confection,confecció,2027-11-10 10:55:08.392634
Corruption,corrupció,2027-11-11 10:55:08.392634
Decoration,decoració,2027-11-12 10:55:08.392634
Dedication,dedicació,2027-11-13 10:55:08.392634
Deficiency,deficiència,2027-11-14 10:55:08.392634
Definition,definició,2027-11-15 10:55:08.392634
Department,departament,2027-11-16 10:55:08.392634
Depression,depressió,2027-11-17 10:55:08.392634
Dictionary,diccionari,2027-11-18 10:55:08.392634
Discipline,disciplina,2027-11-19 10:55:08.392634
Disclaimer,exempció de responsabilitat,2027-11-20 10:55:08.392634
Disclosure,divulgació,2027-11-21 10:55:08.392634
,,2027-11-22 10:55:08.392634
,,2027-11-23 10:55:08.392634
Discussion,discussió,2027-11-24 10:55:08.392634
Efficiency,eficiència,2027-11-25 10:55:08.392634
Employment,ocupació,2027-11-26 10:55:08.392634
Engagement,compromís,2027-11-27 10:55:08.392634
Everything,tot,2027-11-28 10:55:08.392634
Everywhere,arreu,2027-11-29 10:55:08.392634
Exhibition,exposició,2027-11-30 10:55:08.392634
Experience,experiència,2027-12-01 10:55:08.392634
Experiment,experiment,2027-12-02 10:55:08.392634
Expiration,caducitat,2027-12-03 10:55:08.392634
Expression,expressió,2027-12-04 10:55:08.392634
Fertilizer,fertilitzant,2027-12-05 10:55:08.392634
Foundation,fundació,2027-12-06 10:55:08.392634
Generation,generació,2027-12-07 10:55:08.392634
Government,govern,2027-12-08 10:55:08.392634
Importance,importància,2027-12-09 10:55:08.392634
Impossible,impossible,2027-12-10 10:55:08.392634
Inadequate,inadequat,2027-12-11 10:55:08.392634
Incomplete,incompleta,2027-12-12 10:55:08.392634
Incredible,increïble,2027-12-13 10:55:08.392634
Individual,individual,2027-12-14 10:55:08.392634
Inspection,inspecció,2027-12-15 10:55:08.392634
Instrument,instrument,2027-12-16 10:55:08.392634
Irrigation,regadiu,2027-12-17 10:55:08.392634
Journalism,periodisme,2027-12-18 10:55:08.392634
Management,gestió,2027-12-19 10:55:08.392634
Moderation,moderació,2027-12-20 10:55:08.392634
Motivation,motivació,2027-12-21 10:55:08.392634
Negligible,insignificant,2027-12-22 10:55:08.392634
Occupation,ocupació,2027-12-23 10:55:08.392634
Particular,particular,2027-12-24 10:55:08.392634
Passionate,apassionat,2027-12-25 10:55:08.392634
Permission,permís,2027-12-26 10:55:08.392634
Population,població,2027-12-27 10:55:08.392634
Production,producció,2027-12-28 10:55:08.392634
Prostitute,prostituta,2027-12-29 10:55:08.392634
Protection,protecció,2027-12-30 10:55:08.392634
Psychology,Psicologia,2027-12-31 10:55:08.392634
Punishment,càstig,2028-01-01 10:55:08.392634
Quarantine,quarantena,2028-01-02 10:55:08.392634
Retirement,jubilació,2028-01-03 10:55:08.392634
Sufficient,suficient,2028-01-04 10:55:08.392634
Supervisor,supervisor,2028-01-05 10:55:08.392634
Supplement,suplement,2028-01-06 10:55:08.392634
University,universitat,2028-01-07 10:55:08.392634
Vegetarian,vegetariana,2028-01-08 10:55:08.392634
Visibility,visibilitat,2028-01-09 10:55:08.392634
Vulnerable,vulnerable,2028-01-10 10:55:08.392634
Accommodate,acomodar,2028-01-11 10:55:08.392634
Achievement,assoliment,2028-01-12 10:55:08.392634
Acknowledge,reconèixer,2028-01-13 10:55:08.392634
Affirmation,afirmació,2028-01-14 10:55:08.392634
Aggregation,agregació,2028-01-15 10:55:08.392634
Agriculture,agricultura,2028-01-16 10:55:08.392634
Alternation,alternança,2028-01-17 10:55:08.392634
Anniversary,aniversari,2028-01-18 10:55:08.392634
Application,aplicació,2028-01-19 10:55:08.392634
Appointment,cita,2028-01-20 10:55:08.392634
Appreciable,apreciable,2028-01-21 10:55:08.392634
Approximate,aproximada,2028-01-22 10:55:08.392634
Association,Associació,2028-01-23 10:55:08.392634
Certificate,certificat,2028-01-24 10:55:08.392634
Competition,competició,2028-01-25 10:55:08.392634
Cultivation,cultiu,2028-01-26 10:55:08.392634
Corporation,corporació,2028-01-27 10:55:08.392634
Cooperation,cooperació,2028-01-28 10:55:08.392634
Dehydration,deshidratació,2028-01-29 10:55:08.392634
Discontinue,interrompre,2028-01-30 10:55:08.392634
Elimination,eliminació,2028-01-31 10:55:08.392634
Environment,medi ambient,2028-02-01 10:55:08.392634
Evaporation,evaporació,2028-02-02 10:55:08.392634
Examination,examen,2028-02-03 10:55:08.392634
Expenditure,despesa,2028-02-04 10:55:08.392634
Fabrication,fabricació,2028-02-05 10:55:08.392634
Improvement,millora,2028-02-06 10:55:08.392634
Independent,independent,2028-02-07 10:55:08.392634
Information,informació,2028-02-08 10:55:08.392634
Inspiration,inspiració,2028-02-09 10:55:08.392634
Institution,institució,2028-02-10 10:55:08.392634
Instruction,instrucció,2028-02-11 10:55:08.392634
Intelligent,intel · ligent,2028-02-12 10:55:08.392634
Manufacture,fabricació,2028-02-13 10:55:08.392634
Measurement,mesura,2028-02-14 10:55:08.392634
Mensuration,mesura,2028-02-15 10:55:08.392634
Observation,observació,2028-02-16 10:55:08.392634
Opportunity,oportunitat,2028-02-17 10:55:08.392634
Participant,participant,2028-02-18 10:55:08.392634
Performance,rendiment,2028-02-19 10:55:08.392634
Preparation,preparació,2028-02-20 10:55:08.392634
Significant,significatiu,2028-02-21 10:55:08.392634
Temperature,temperatura,2028-02-22 10:55:08.392634
Translation,traducció,2028-02-23 10:55:08.392634
Transparent,transparent,2028-02-24 10:55:08.392634
Vaccination,vacunació,2028-02-25 10:55:08.392634
Abbreviation,abreviatura,2028-02-26 10:55:08.392634
Administrate,administrar,2028-02-27 10:55:08.392634
Appreciation,apreciació,2028-02-28 10:55:08.392634
Accommodation,allotjament,2028-02-29 10:55:08.392634
Accompaniment,acompanyament,2028-03-01 10:55:08.392634
Administrator,administrador,2028-03-02 10:55:08.392634
Advertisement,anunci,2028-03-03 10:55:08.392634
Administration,Administració,2028-03-04 10:55:08.392634
Acknowledgement,reconeixement,2028-03-05 10:55:08.392634
Conformation,conformació,2028-03-06 10:55:08.392634
Conservation,conservació,2028-03-07 10:55:08.392634
Constitution,constitució,2028-03-08 10:55:08.392634
Construction,construcció,2028-03-09 10:55:08.392634
Contribution,contribució,2028-03-10 10:55:08.392634
Communication,comunicació,2028-03-11 10:55:08.392634
Classification,classificació,2028-03-12 10:55:08.392634
Congratulation,enhorabona,2028-03-13 10:55:08.392634
Disadvantage,desavantatge,2028-03-14 10:55:08.392634
Entrepreneur,empresari,2028-03-15 10:55:08.392634
Entertainment,entreteniment,2028-03-16 10:55:08.392634
Extraordinary,extraordinari,2028-03-17 10:55:08.392634
Horticulture,horticultura,2028-03-18 10:55:08.392634
Intermediate,intermedi,2028-03-19 10:55:08.392634
Introduction,introducció,2028-03-20 10:55:08.392634
Investigation,investigació,2028-03-21 10:55:08.392634
International,internacional,2028-03-22 10:55:08.392634
Identification,identificació,2028-03-23 10:55:08.392634
Justification,justificació,2028-03-24 10:55:08.392634
Knowledgeable,coneixedor,2028-03-25 10:55:08.392634
Maintainable,mantenible,2028-03-26 10:55:08.392634
Organization,organització,2028-03-27 10:55:08.392634
Presentation,presentació,2028-03-28 10:55:08.392634
Preservation,conservació,2028-03-29 10:55:08.392634
Purification,purificació,2028-03-30 10:55:08.392634
Participation,participació,2028-03-31 10:55:08.392634
Registration,registre,2028-04-01 10:55:08.392634
Reproduction,reproducció,2028-04-02 10:55:08.392634
Satisfaction,satisfacció,2028-04-03 10:55:08.392634
Self confidence,confiança en un mateix,2028-04-04 10:55:08.392634
Transformation,transformació,2028-04-05 10:55:08.392634
Transportation,transport,2028-04-06 10:55:08.392634
